A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y,AB,BC,CD,DE,EF,Length,Good
6.347248186443215,19.772323088248978,5.3985578353005215,17.917724363921337,4.089044994630349,17.562348727818907,3.396608391291378,17.56285006858826,2.2949194590675037,18.989785174141424,1.4394855937897355,19.345526600005442,2,1,1,2,1,7,1
0.8910375708952345,2.149882582121858,1.1983537902442332,2.426869114814747,0.39760267679591177,0.5242197375543856,1.7008842273955582,0.7810956646576472,3.1358278929216854,0.37152404354819035,5.2659354097422195,1.3192218136804756,0,2,1,1,2,6,1
17.666121824116196,12.473444141112179,18.65190926074327,13.936363229798003,19.777221778129896,14.963313087596788,19.400399781766247,16.936576029800705,18.15631705007048,18.639441383936745,17.527783045920767,17.892133270076947,2,2,2,2,1,9,1
0.5477518639585233,13.409350203568044,0.0574065406231794,12.342898272414477,0.9990691789217432,10.717928118310232,1.4004428743844466,9.726902218740637,2.0645201315528405,8.957870523518103,2.046688576556517,8.281119756391366,1,2,1,1,1,6,1
8.162736055225624,4.740539604860555,9.831463185606765,1.0672509023416077,11.2206043851142,0.3729457874588604,11.194339641082848,0.2511196031823171,11.124804679808378,2.7291045132137004,11.482352109840262,2.934571498116203,4,2,0,2,0,8,1
5.2659354097422195,1.3192218136804756,5.755506771726974,2.6005714423655535,8.162736055225624,4.740539604860555,7.953536739710671,3.3070839423386555,9.831463185606765,1.0672509023416077,11.2206043851142,0.3729457874588604,1,3,1,3,2,10,1
8.162736055225624,4.740539604860555,9.831463185606765,1.0672509023416077,11.194339641082848,0.2511196031823171,11.2206043851142,0.3729457874588604,11.124804679808378,2.7291045132137004,11.482352109840262,2.934571498116203,4,2,0,2,0,8,1
17.270837091188575,14.942432854743693,18.170703018395983,12.467202315836055,17.20055897365776,10.776621286833057,18.067590411245074,11.473589733445717,19.15779060301004,10.663305699460341,18.891895119816265,11.731100810039859,3,2,1,1,1,8,1
19.777221778129896,14.963313087596788,19.400399781766247,16.936576029800705,17.527783045920767,17.892133270076947,18.15631705007048,18.639441383936745,16.014891373510732,19.36523151438795,15.077523769224928,18.460490710929665,2,2,1,2,1,8,1
15.077523769224928,18.460490710929665,13.81793835033848,19.94645700902961,12.335567140033152,18.98032641375233,11.715185429165757,19.39191496639349,10.493406182474674,18.496159407987015,8.561823797425898,19.29680094296771,2,2,1,2,2,9,1
4.796955182951724,9.875394285374599,3.908589622186376,11.627178545465156,1.3200034544412498,15.109261052049327,3.8686856524665547,12.789217617598803,0.3657655468838361,15.00288629889935,0.3873391574059415,13.576710658797818,2,4,3,4,1,14,0
0.39760267679591177,0.5242197375543856,1.7008842273955582,0.7810956646576472,5.2659354097422195,1.3192218136804756,3.1358278929216854,0.37152404354819035,5.755506771726974,2.6005714423655535,7.953536739710671,3.3070839423386555,1,4,2,3,2,12,0
5.755506771726974,2.6005714423655535,7.953536739710671,3.3070839423386555,9.831463185606765,1.0672509023416077,8.162736055225624,4.740539604860555,11.2206043851142,0.3729457874588604,11.194339641082848,0.2511196031823171,2,3,4,5,0,14,0
9.831463185606765,1.0672509023416077,11.2206043851142,0.3729457874588604,11.124804679808378,2.7291045132137004,11.194339641082848,0.2511196031823171,11.482352109840262,2.934571498116203,11.362009238398842,4.06586469321981,2,2,2,3,1,10,0
11.482352109840262,2.934571498116203,11.362009238398842,4.06586469321981,14.230495172569436,2.485419239443294,12.59435014043129,4.203480198296791,15.055111074776278,1.3307296270822988,18.06803830575767,2.7494940829247505,1,3,2,4,3,13,0
4.796955182951724,9.875394285374599,1.3200034544412498,15.109261052049327,3.908589622186376,11.627178545465156,0.3657655468838361,15.00288629889935,3.8686856524665547,12.789217617598803,0.3873391574059415,13.576710658797818,6,4,5,4,4,23,0
0.39760267679591177,0.5242197375543856,5.2659354097422195,1.3192218136804756,1.7008842273955582,0.7810956646576472,5.755506771726974,2.6005714423655535,3.1358278929216854,0.37152404354819035,7.953536739710671,3.3070839423386555,5,4,4,3,6,22,0
5.755506771726974,2.6005714423655535,11.2206043851142,0.3729457874588604,7.953536739710671,3.3070839423386555,9.831463185606765,1.0672509023416077,8.162736055225624,4.740539604860555,11.194339641082848,0.2511196031823171,6,4,3,4,5,22,0
9.831463185606765,1.0672509023416077,11.124804679808378,2.7291045132137004,11.2206043851142,0.3729457874588604,11.482352109840262,2.934571498116203,11.194339641082848,0.2511196031823171,11.362009238398842,4.06586469321981,2,2,3,3,4,14,0
11.482352109840262,2.934571498116203,14.230495172569436,2.485419239443294,11.362009238398842,4.06586469321981,15.055111074776278,1.3307296270822988,12.59435014043129,4.203480198296791,18.06803830575767,2.7494940829247505,3,3,5,4,6,21,0
23.988457852080842,1.0371365961490275,21.85757003923789,6.245833152263744,20.728264261985057,5.659104028659327,17.335716458536066,5.520306048823952,15.792778017165638,4.062837092165097,11.337725379842995,2.3887823309475706,6,1,3,2,5,17,1
5.218670000413931,3.78988558318912,7.7909517989505925,7.712078964664401,7.431987052870646,7.865192513187358,10.35516153465645,6.7511987344225375,12.044387504086218,9.521518378748308,11.463082560945516,12.324340497665569,5,0,3,3,3,14,1
24.79220992888024,25.62346331509616,22.500652911079797,25.74941509287127,23.1071620366494,21.95185802218581,22.652465654030404,20.94171745341909,23.637877014765127,18.36093531134802,25.870387585141323,20.780331525220628,2,4,1,3,3,13,1
11.846268387706647,28.897875853221354,11.297409442373233,29.213506150749676,10.342099580498804,28.203224470001015,9.730873791785594,26.18767129200333,10.300387193232691,23.929164118756997,11.430483721866425,22.495749321784302,1,1,2,2,2,8,1
17.17465551574819,21.994275758625335,18.14148302922159,24.865374239420788,17.80297348393863,25.315212867935664,17.4604253984124,26.36495953235532,20.37206509696289,27.558053339325774,23.482482443525157,29.71415350871522,3,1,1,3,4,12,1
4.811855385589473,22.36911578122488,3.9299053443275067,24.284720763797463,0.012060746740722994,29.30277447093179,0.6457441582259393,28.43910633653043,6.358804939310279,23.958127342806307,7.571001045137692,25.646938280922072,2,6,1,7,2,18,1
0.012060746740722994,29.30277447093179,6.358804939310279,23.958127342806307,7.441006751316922,25.55015624809101,7.571001045137692,25.646938280922072,9.457344092861188,26.78666125575454,11.846268387706647,28.897875853221354,8,2,0,2,3,15,1
11.430483721866425,22.495749321784302,13.01029046968375,24.220815866545244,15.8314393892624,24.06483252013794,15.570348823921675,23.12651731505664,17.17465551574819,21.994275758625335,18.14148302922159,24.865374239420788,2,3,1,2,3,11,1
13.01029046968375,24.220815866545244,15.570348823921675,23.12651731505664,17.17465551574819,21.994275758625335,15.8314393892624,24.06483252013794,18.14148302922159,24.865374239420788,17.80297348393863,25.315212867935664,3,2,2,2,1,10,1
23.482482443525157,29.71415350871522,25.99824822499539,28.494179740608796,27.78544280119361,27.562003069008185,27.48916660405052,27.28906574854671,26.399948656902954,27.115258674791157,25.342033361766656,27.161769561259476,3,2,0,1,1,7,1
25.934382901637996,9.680429905102393,29.692551229911157,6.1171867569936555,24.813464135121976,0.45056942226367136,29.48451341191335,5.4483855399229135,23.558880846648567,0.6699128397541854,23.988457852080842,1.0371365961490275,5,7,7,8,1,28,0
